,product_id,name,actual_price,discount_price,ratings,brand,category,description,average_rating,image
281,282,Hydrating Body Lotion,349.0,349.0,4.0,Nutrinorm,Beauty & Hygiene,"Nutrinorm’s Hydrating Body Lotion is enriched with Anti-oxidants and Vitamin E, providing a Natural, Healing and Soothing effect on the skin. Its unique herbal properties Strengthen, Protects and Rejuvenates the skin for enhanced cell function. While its natural moisturizer leaves the skin soft. The Hydrating Body lotion contains high-quality Virgin Coconut oil, Pure Olive oil, Grapeseed oil and Glycyrrhiza glabra which has a soothing effect on the skin and the formula absorbs the lotion quickly into the skin.",4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
282,283,Nuts & Seeds Bar,40.0,36.0,3.8,RiteBite Max Protein,Snacks & Branded Foods,"A NUTTY TREAT: A the crunch of almonds and cashews in each bite and a kick of health with pumpkin seeds and flax seeds. To add on to this, this great combination is formulated WITH NO ADDED SUGAR NUTRITION AND MORE: With cashews and almonds that are rich in zinc and magnesium and source of other micronutrients. Dark chocolate that serves as a mood elevator and aids stress management, Oats that delivers Fibre and quinoa provides sustained energy with Low GI. A product with clean and natural ingredients and no preservatives and the benefits of flax seeds that are a good source of Omerag-3 fatty acids and pumpkin seeds that improves heart health.  YOUR GO-TO SNACK: A pack full of goodness for all your sweet cravings. No more guilt for your midnight binge or when you have a craving for something sweet. This little pack can get you through all those tiring commutes or even those quick exercise sessions. We have got you covered. MADE IN INDIA: We are truly local & Proudly Vocal about it.",3.8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
283,284,"Nacho Chips - Cheese With Herbs, No Onion, No Garlic",70.0,46.9,4.2,Makino,Gourmet & World Food,"Makino’s No Onion and No Garlic flavours are specially launched for people who don’t consume garlic, onion and potato in their diet or meal. We procure Non-GMO high protein Corn from Northern parts of India, in-process we bake raw chips, fry it with corn oil and add imported seasoning to give you the best taste without compromising the quality. These products are made in ISO 22000, FSSAI, HACCP, HALAL and US FDA approved plant. On the other side, our all products contain no MSG, no Preservative, zero trans fat and zero cholesterol so, feel free to consume. About Makino’s No Onion No Garlic Flavors, they are very unique in taste compare to Makino’s regular flavours.",4.2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
284,285,7 O Click - Permasharp Stainless Blade,22.0,21.56,4.1,Gillette,Beauty & Hygiene,"The Razor's Snap Lock Action makes shaving really convenient and hassle-free, unlike ordinary razors, its superior design ensures a firm hold and precise positioning of the blade, minimising any chances of nicks and cuts. So you can have a shave that's totally safe and comfortable.",4.1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
285,286,Classic Sandalwood & Tulsi Hand Wash,209.0,209.0,3.8,Santoor,Beauty & Hygiene,Presenting Santoor hand wash with a blend of natural ingredients and unique formulation that not only fights germs but also keeps the hands soft. Its natural fragrance makes it pleasant to use and the ergonomically designed packs make it easy to keep in washbasins and sinks. Its unique formulation not only fights germs but has a pH balanced formulation that maintains the softness of the hands.,3.8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
286,287,Brass Karpoor Arti - No.2,225.0,109.0,3.8,Trm,Cleaning & Household,The camphor is placed and lit in the middle of the karpura Arthi holder and it is waved in circular fashion to show the gratitude and offerings to the God. The flames from the karpur arthi is partially touched with the hands and kept on the eyes as a part of the ritual to get positivity. The hovering of the hands is used to open the sense of touch and flames are used to open the sense of sight. It gives calmness to the mind.,3.8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
287,288,Nikhaar Hair Removal Cream For All Skin Types,82.0,82.0,4.1,Veet,Beauty & Hygiene,"Enjoy a pleasant hair removal experience with Veet Nikhaar Hair Removal Cream – with the goodness of Turmeric, Sandal & Saffron- it gives you smooth and visibly brighter skin with every depilation. This hair depilation cream is pain-less and great for instant use. It effectively removes even short, stubborn hair and leaves skin moisturized for up to 24 hours. It can be used on legs, arms, bikini line and underarms for a perfectly finished hair-less skin. Veet Nikhaar Hair Removal Cream for all skin types gives you perfect hair removal results in just 3 to 6 minutes. Follow the steps mentioned in the pack using the special spatula provided. Before using the product, please read the pack precautions carefully. With regular use; get fewer, finer and softer hair growing back!",4.1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
288,289,Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils,140.0,114.8,4.3,Nivea,Beauty & Hygiene,"Nivea Original Care Lip Blam nourishes lips in such a way that they always look and feel their best. With its weightless texture, it makes effective all-around lip care for soft and smooth lips, with no colour. The skin on your lips is much thinner than rest of the body skin, it chaps and peels so easily and hence ideally should be kept moisturised with a lip care product. Nivea Original Lip Balm keeps your lips moisturised for up to 12 hours.",4.3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
289,290,"Plastic Insulated Jr Casserole For Roti/Chapati Gift Set - White, Regalia",910.0,739.0,3.5,Milton,"Kitchen, Garden & Pets","Bring home this Milton casserole and dig right into a tasty meal without waiting. Eating hot and fresh food is everyones desire and this casserole with a stainless steel interior and plastic outer body retains heat effectively for long periods of time. The double-walled insulation lets you say goodbye to the lengthy process of heating each item before consumption. Moreover, its charming aesthetics make it an ideal gifting solution for any occasion.",3.5,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
290,291,Vastu Combo Pack - Floor Cleaner + toilet cleaner,319.0,319.0,3.6,Runaway,Cleaning & Household,"Runaway Vastu Floor Cleaner Contains Herbal & Organic Contents and Also it contains Various kinds of Natural Oils ,Which again helps in Reducing Negative Energy from your place. Runaway-Vastu Floor Cleaner have 5 in 1 Properties. 1.Powerfull Cleaner2. Retain Shine of Floor3. Kill Germs4. Reduces Negative Energy .5. Insecticidal Property It also Contains Gau Mutra . Gau Mutra is Natural Disinfectant, Anti Microbial & Anti Bacterial.",0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/495px-No-Image-Placeholder.svg.png?20200912122019
